number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
11,0.9931248519308221,2026-08-13 11:59:16.693840,2026-08-13 11:59:17.412988,0 days 00:00:00.719148,0.8455577182109738,2.8308475111533333,0.06433192919918304,3,12,268,0.6006693616133776,3.9055628938694147,0.7585890679391029,COMPLETE
12,1.0,2026-08-13 11:59:17.414287,2026-08-13 11:59:17.833047,0 days 00:00:00.418760,0.7458043600674944,0.7372573409454612,0.030939202508820273,4,11,121,0.7146367890632827,4.71035393735875,0.6587305446789748,COMPLETE
13,1.0,2026-08-13 11:59:17.834754,2026-08-13 11:59:18.240326,0 days 00:00:00.405572,0.7657180044098069,1.3191582021405068,0.029195907096945094,3,11,113,0.5171608347434238,5.298038018788379,0.6506641350931036,COMPLETE
14,0.9932835820895523,2026-08-13 11:59:18.241525,2026-08-13 11:59:18.648300,0 days 00:00:00.406775,0.7453683793126898,1.2232936441669748,0.02521447229682657,3,10,106,0.41100501344906365,5.063913468256828,0.6570095391322623,COMPLETE
15,0.9932306720366422,2026-08-13 11:59:18.649724,2026-08-13 11:59:19.131278,0 days 00:00:00.481554,0.7704253759912726,1.2388929471410202,0.026103786725107353,4,5,113,0.3491011113876837,2.5989537607427415,0.6520102622696855,COMPLETE
16,0.9932835820895523,2026-08-13 11:59:19.132813,2026-08-13 11:59:19.603343,0 days 00:00:00.470530,0.7230847521669034,0.5041209431740882,0.030626516022895917,3,11,130,0.8215194226056878,1.0308114035713558,0.8073321665074539,COMPLETE
17,0.9932835820895523,2026-08-13 11:59:19.604934,2026-08-13 11:59:19.954415,0 days 00:00:00.349481,0.7903959251564457,1.523448393541743,0.019071056141279297,4,16,82,0.195335737105759,4.981501967008922,0.7500567438773499,COMPLETE
18,0.9932835820895523,2026-08-13 11:59:19.955783,2026-08-13 11:59:20.436539,0 days 00:00:00.480756,0.70043710462671,0.9857029233779486,0.021680233512515523,3,10,125,0.29747236099807906,5.167631993726107,0.6515131508487403,COMPLETE
19,0.9932835820895523,2026-08-13 11:59:20.438020,2026-08-13 11:59:20.884006,0 days 00:00:00.445986,0.8095241688708069,2.2437175858611997,0.029348992939998292,4,5,102,0.9217214934566276,2.279778840128153,0.7188847136929224,COMPLETE
20,0.9932835820895523,2026-08-13 11:59:20.885439,2026-08-13 11:59:21.350383,0 days 00:00:00.464944,0.7392424652013635,1.487384216003969,0.021286200373903653,3,16,138,0.05243651639961954,9.859225162829578,0.8820257170582181,COMPLETE
21,0.9978260869565218,2026-08-13 11:59:21.351841,2026-08-13 11:59:22.063606,0 days 00:00:00.711765,0.8419835853216353,3.495459287194901,0.03467853213385746,2,13,251,0.559987876662892,7.855669524762806,0.6820291271892315,COMPLETE
22,1.0,2026-08-13 11:59:22.065019,2026-08-13 11:59:22.639166,0 days 00:00:00.574147,0.7871755353365795,3.332918412615519,0.03439676214406252,3,14,190,2.969082239131706,6.0017462302285445,0.675011417855917,COMPLETE
23,1.0,2026-08-13 11:59:22.640485,2026-08-13 11:59:23.224083,0 days 00:00:00.583598,0.7815811665844229,2.4370709504441264,0.031205564701662362,3,11,196,1.3524974233141829,5.637522016770881,0.6730722049462919,COMPLETE
24,0.9932306720366422,2026-08-13 11:59:23.225650,2026-08-13 11:59:23.727967,0 days 00:00:00.502317,0.7493839358394581,0.7684718711122454,0.04050448534653486,3,15,176,0.2467838672915933,4.083402107112453,0.7087067253364887,COMPLETE
25,0.9932835820895523,2026-08-13 11:59:23.729288,2026-08-13 11:59:24.133026,0 days 00:00:00.403738,0.7987565557115952,0.8930539533594143,0.022495945792397203,4,9,101,0.8417325381174685,5.87954536256157,0.6709989186987352,COMPLETE
26,1.0,2026-08-13 11:59:24.134271,2026-08-13 11:59:24.537702,0 days 00:00:00.403431,0.7120283203477491,3.5981908793878348,0.03332042884813838,3,12,121,0.5025527884841203,4.6681660505269456,0.6711064636521541,COMPLETE
27,0.9932835820895523,2026-08-13 11:59:24.538975,2026-08-13 11:59:24.967885,0 days 00:00:00.428910,0.6821459396377716,1.4918104684985014,0.04299810643090086,4,18,142,2.9233471296804456,3.447366438672287,0.743038826142324,COMPLETE
28,0.9955882352941177,2026-08-13 11:59:24.969226,2026-08-13 11:59:25.307498,0 days 00:00:00.338272,0.7601580089375473,1.9595596099340904,0.056111576258091427,3,14,93,0.12562927261754273,4.3501718553784166,0.7072886783443646,COMPLETE
29,1.0,2026-08-13 11:59:25.308944,2026-08-13 11:59:25.801892,0 days 00:00:00.492948,0.734551646857613,2.538745391585414,0.028574938933754866,4,14,157,1.557147688152457,3.646213813190082,0.692832371905691,COMPLETE
